"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Epithelia","C7-APOBEC3A-like","LAMA3","CD44",0.00647603414713586,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","CD8 T","LAMA3","CD44",0.000692785497770941,0.02,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","CD8 T","LAMA3","CD44",0.00432263993940786,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Cell cycle cell","LAMA3","CD44",0.000612885064513525,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Cell cycle cell","LAMA3","CD44",0.00382570332796758,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Epithelia","LAMA3","CD44",6.92822573583976e-05,0.02,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Epithelia","LAMA3","CD44",0.000433704958530956,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Fibroblast","LAMA3","CD44",0.000280925739374537,0.02,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Fibroblast","LAMA3","CD44",0.00175663144467607,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mac-Cycling","LAMA3","CD44",0.000824272077391786,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mac-Cycling","LAMA3","CD44",0.00513950817933958,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mac-FOLR2-LYVE1-resident","LAMA3","CD44",0.000246714532545412,0.02,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mac-FOLR2-LYVE1-resident","LAMA3","CD44",0.00154298579852252,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mac-OLFML3-CX3CR1-resident","LAMA3","CD44",0.000772139099018078,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mac-OLFML3-CX3CR1-resident","LAMA3","CD44",0.00481576363098938,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mac-TNF-CCL4-inflammatory","LAMA3","CD44",0.000969584005282703,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mac-TNF-CCL4-inflammatory","LAMA3","CD44",0.00604095895294813,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mono-FCN1-S100A8-S100A9","LAMA3","CD44",0.00142918022562253,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Mono-FCN1-S100A8-S100A9","LAMA3","CD44",0.00888308221413554,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Myeloid","LAMA3","CD44",0.000414742180412458,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Myeloid","LAMA3","CD44",0.0025915647584102,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Myeloid-CLEC10A-APC","LAMA3","CD44",0.00142935648064608,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Myeloid-CLEC10A-APC","LAMA3","CD44",0.00888416955023169,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Other T","LAMA3","CD44",0.000725006038828275,0.01,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","Other T","LAMA3","CD44",0.00452291614287129,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","SMC_myoFibroblast","LAMA3","CD44",0.000856558493512343,0.02,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Epithelia","SMC_myoFibroblast","LAMA3","CD44",0.00533991738219262,0,"LAMA3_CD44","LAMA3 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","B cell_plasma","LAMA4","CD44",0.00411450419266378,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","B cell_plasma","LAMA4","CD44",0.0030011629973598,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","B cell_plasma","LAMA4","CD44",0.00529235107357174,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","C6-SLC2A1-like","LAMA4","CD44",0.058877246243833,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","C6-SLC2A1-like","LAMA4","CD44",0.0435943472914141,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","C6-SLC2A1-like","LAMA4","CD44",0.0745581998732456,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","C7-APOBEC3A-like","LAMA4","CD44",0.0521666592389249,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","C7-APOBEC3A-like","LAMA4","CD44",0.0385542840119745,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","C7-APOBEC3A-like","LAMA4","CD44",0.0661860535399646,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","CD8 T","LAMA4","CD44",0.035361076139446,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","CD8 T","LAMA4","CD44",0.0260135974159635,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","CD8 T","LAMA4","CD44",0.0450788957796612,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Cell cycle cell","LAMA4","CD44",0.0314084773107223,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Cell cycle cell","LAMA4","CD44",0.0230808433790443,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","Cell cycle cell","LAMA4","CD44",0.0400851944939999,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Epithelia","LAMA4","CD44",0.00365026886037078,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Epithelia","LAMA4","CD44",0.00266220902143243,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","Epithelia","LAMA4","CD44",0.00469584710723932,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Fibroblast","LAMA4","CD44",0.0146409411194351,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Fibroblast","LAMA4","CD44",0.0107098891996879,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","Fibroblast","LAMA4","CD44",0.0187753489438712,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mac-Cycling","LAMA4","CD44",0.0417971894054794,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-Cycling","LAMA4","CD44",0.0308026916084994,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
