"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.14645735175713e-38,2.20957558285939,0.462,0.187,4.7911074548571e-34,"8","RSAD2"
2.81016597435957e-38,1.13962258580806,0.759,0.449,6.272571471368e-34,"8","MBD2"
5.04742184158708e-38,1.39564859413262,0.886,0.642,1.12663502926065e-33,"8","ISG15"
5.20730009126362e-38,1.27457768691359,0.627,0.31,1.16232145337095e-33,"8","GLIPR2"
5.75382020900846e-38,1.8058695401407,0.241,0.056,1.28431020885278e-33,"8","CDA"
9.3049623352382e-38,2.92241643469661,0.259,0.068,2.07696064284852e-33,"8","DEFB1"
1.23109981892781e-37,1.3468887658448,0.782,0.483,2.74793790582876e-33,"8","TNFRSF1B"
1.59207965207646e-37,1.05130219736256,0.801,0.508,3.55368099139986e-33,"8","PSMB8"
1.91078579033007e-37,1.08024555171662,0.823,0.535,4.26506496259574e-33,"8","TNFSF13B"
6.25271065660585e-37,0.635857045250958,0.997,0.919,1.39566754566099e-32,"8","H3F3A"
7.85720954885383e-37,0.96135471297762,0.782,0.474,1.75380774339966e-32,"8","CASP4"
8.98362970197594e-37,1.92540205891584,0.601,0.292,2.00523598577805e-32,"8","IFIT2"
9.89343955604709e-37,2.39959815111645,0.301,0.09,2.20831464330527e-32,"8","PLAGL2"
1.22191802458001e-36,0.59870514964109,0.991,0.878,2.72744322266504e-32,"8","MYL6"
1.63588160822736e-36,0.897952420049126,0.867,0.578,3.6514513377243e-32,"8","PGK1"
2.61142262755364e-36,0.847026550614068,0.883,0.62,5.82895644696247e-32,"8","PSME1"
6.45103564116862e-36,1.19754767522712,0.668,0.365,1.43993566546525e-31,"8","OAS1"
7.89647051661662e-36,1.21658391185234,0.563,0.26,1.762571184014e-31,"8","IRAK3"
8.87876268174596e-36,3.20008165689396,0.117,0.016,1.98182861819252e-31,"8","L1TD1"
9.48870644304583e-36,1.39184293021062,0.535,0.239,2.11797416515226e-31,"8","RASSF5"
2.04944712791002e-35,1.44687967737626,0.557,0.272,4.57457093420796e-31,"8","CPPED1"
3.25305145016828e-35,1.56524792844914,0.636,0.336,7.26113614192061e-31,"8","PECAM1"
6.62947360307834e-35,0.472765741943993,1,0.994,1.47976480294312e-30,"8","B2M"
6.99912839362774e-35,1.5202496798267,0.557,0.267,1.56227544874165e-30,"8","FBP1"
8.57875369323804e-35,1.07241364174353,0.766,0.49,1.91486361186766e-30,"8","DYNLT1"
1.07085388335001e-34,1.18746435485599,0.693,0.39,2.39025295302555e-30,"8","SLC7A7"
1.24139846271409e-34,1.29584506355675,0.453,0.174,2.77092550862412e-30,"8","ICAM3"
1.39742428633685e-34,2.69498259420662,0.225,0.056,3.11919074953249e-30,"8","TESC"
1.44344101129369e-34,0.733069616324454,0.994,0.946,3.22190468130864e-30,"8","RPS19"
