"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Advanced","CCL","Fibroblast","Myeloid-CLEC10A-APC",1,0.00052722037046608
"Early","CCL","Fibroblast","Myeloid-CLEC10A-APC",2,0.00124780174202521
"Advanced","CCL","Mac-Cycling","B cell_plasma",1,0.0028012796497874
"Early","CCL","Mac-Cycling","B cell_plasma",2,0.0180949204118405
"Advanced","CCL","Mac-Cycling","C6-SLC2A1-like",3,0.141860247487447
"Early","CCL","Mac-Cycling","C6-SLC2A1-like",7,0.201359407442978
"Non-malignant","CCL","Mac-Cycling","C6-SLC2A1-like",4,0.0881321466391585
"Advanced","CCL","Mac-Cycling","C7-APOBEC3A-like",3,0.154748049912837
"Early","CCL","Mac-Cycling","C7-APOBEC3A-like",6,0.232381594786647
"Non-malignant","CCL","Mac-Cycling","C7-APOBEC3A-like",5,0.0904281873252835
"Early","CCL","Mac-Cycling","Cell cycle cell",7,0.0881282739156579
"Advanced","CCL","Mac-Cycling","Endothelia",2,0.0198333587519663
"Early","CCL","Mac-Cycling","Endothelia",3,0.0726302567382445
"Non-malignant","CCL","Mac-Cycling","Endothelia",1,0.0134391239442229
"Advanced","CCL","Mac-Cycling","Mac-Cycling",3,0.0771908038372508
"Early","CCL","Mac-Cycling","Mac-Cycling",4,0.132602538937076
"Non-malignant","CCL","Mac-Cycling","Mac-Cycling",2,0.0323035764742699
"Advanced","CCL","Mac-Cycling","Mac-FOLR2-LYVE1-resident",3,0.056700905488727
"Early","CCL","Mac-Cycling","Mac-FOLR2-LYVE1-resident",4,0.0600984922559802
"Non-malignant","CCL","Mac-Cycling","Mac-FOLR2-LYVE1-resident",2,0.0649967995140224
"Advanced","CCL","Mac-Cycling","Mac-OLFML3-CX3CR1-resident",3,0.0782729933952935
"Early","CCL","Mac-Cycling","Mac-OLFML3-CX3CR1-resident",4,0.057138690250771
"Non-malignant","CCL","Mac-Cycling","Mac-OLFML3-CX3CR1-resident",4,0.0518094934825194
"Non-malignant","CCL","Mac-Cycling","Mac-TNF-CCL4-inflammatory",2,0.0106620394662272
