"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
4.32040170568766e-113,2.68020894564707,0.862,0.712,9.64356864726543e-109,"CFL1"
4.59662870367148e-113,3.4593403482066,0.797,0.434,1.02601349294651e-108,"PTPRC"
1.01559158942079e-112,-3.37603666561063,0.068,0.785,2.26690198674614e-108,"PDK1"
3.22510065933904e-110,3.67110775744932,0.779,0.432,7.19874718171068e-106,"HLA-DMA"
6.71307921437827e-110,2.37330108705295,0.878,0.738,1.49842641144137e-105,"HNRNPA1"
2.13164659265969e-109,1.57764495558071,0.955,0.879,4.75804835947569e-105,"CD79A"
6.07140120937494e-109,2.13160187942085,0.898,0.803,1.35519746394458e-104,"PABPC1"
6.8019536086905e-109,-2.66633630668187,0.138,0.836,1.51826406499581e-104,"SDF2L1"
7.33586149854615e-108,2.36422221078989,0.865,0.779,1.63743764509049e-103,"RPL36A"
1.38090923949764e-107,-5.09818924931583,0.018,0.679,3.08232751348269e-103,"JSRP1"
1.93061163293373e-107,3.90109269832065,0.691,0.239,4.30931822587138e-103,"TNFRSF13C"
4.96336188536717e-107,-2.16980247200633,0.298,0.898,1.10787200643281e-102,"SSR3"
7.77637523595187e-107,1.50514790923037,0.926,0.902,1.73576471641682e-102,"OAZ1"
2.99503250484976e-106,-2.62682347963716,0.228,0.891,6.68521205407514e-102,"HSPA5"
6.65271337585349e-105,1.87166777485133,0.948,0.905,1.48495215262426e-100,"JUND"
6.73249890442713e-105,2.45421271846232,0.851,0.751,1.50276108045718e-100,"TOMM7"
1.42021512337031e-104,4.57993183846046,0.616,0.16,3.17006217687486e-100,"COTL1"
1.94234060168809e-104,-4.27857191690515,0.018,0.674,4.33549845702799e-100,"FNDC3B"
4.44085342247796e-103,3.00264948600226,0.822,0.63,9.91242892431305e-99,"SH3BGRL3"
6.08106513146919e-102,4.51863136471495,0.526,0.087,1.35735454799524e-97,"DEK"
1.37286921185774e-101,-2.66840385737463,0.135,0.811,3.06438136778766e-97,"MANF"
5.36995264659779e-101,-5.97752885137776,0.005,0.635,1.19862713024709e-96,"SDC1"
8.49961222123988e-101,5.35438214330161,0.4,0.021,1.89719844390295e-96,"BLK"
2.41195589913474e-100,5.12256777678383,0.526,0.092,5.38372676245865e-96,"PLAC8"
4.41496771389871e-100,1.39340179513228,0.971,0.971,9.8546494341933e-96,"HLA-A"
5.95607743519691e-100,6.04835764146162,0.391,0.02,1.3294560443103e-95,"LYSMD2"
2.29038258904801e-99,4.61089164943636,0.587,0.144,5.11236297701407e-95,"VPREB3"
1.61821629348141e-98,1.65428002098196,0.926,0.909,3.61202058867987e-94,"DDX5"
3.84255288321835e-98,2.93110941828489,0.81,0.606,8.57696229063168e-94,"PFN1"
4.37667790152785e-97,1.71475984758156,0.907,0.861,9.76918274400031e-93,"HNRNPA2B1"
4.57812059808707e-97,-3.07013931461259,0.05,0.7,1.02188229869901e-92,"MAN1A1"
1.01689136360697e-96,2.17320468516226,0.856,0.768,2.26980321270711e-92,"NPM1"
2.54433244967856e-96,4.55802609093551,0.506,0.084,5.67920446092752e-92,"TRIM22"
2.94316382889501e-96,6.49711559875518,0.361,0.014,6.56943598247654e-92,"BCL11A"
4.0213703009608e-96,-2.06027464487935,0.199,0.873,8.97610064877459e-92,"LMAN1"
4.25302140563911e-96,5.60676833721664,0.479,0.071,9.49316907952706e-92,"PKIG"
8.32614810255279e-96,5.73307442101514,0.402,0.029,1.85847951797081e-91,"BCAS4"
8.43869716944059e-96,1.03186637810112,0.991,0.984,1.88360159519083e-91,"HLA-B"
1.04626765158649e-95,-6.13133697712456,0.605,0.949,2.33537402510621e-91,"IGHG3"
1.79608010921104e-95,-3.42612548838337,0.038,0.673,4.00903041176997e-91,"PRDM1"
3.94893299940175e-95,4.7475593325585,0.488,0.075,8.81441334796465e-91,"CD82"
3.7789416212085e-94,-2.23500663153016,0.176,0.834,8.43497559269949e-90,"ERLEC1"
5.70335448792326e-94,-1.98078199010572,0.104,0.775,1.27304575524935e-89,"PDIA4"
6.73474978553473e-94,1.28700951190202,0.953,0.931,1.50326349962921e-89,"RPLP0"
1.31307427635348e-93,1.91112179933112,0.86,0.805,2.9309130922486e-89,"COX4I1"
3.482464279843e-93,1.75374332958976,0.885,0.862,7.77320851903755e-89,"RPS17"
2.98321861520043e-92,7.43412618535529,0.332,0.008,6.65884227098887e-88,"HHEX"
5.28779089631544e-92,1.52428537646836,0.912,0.915,1.18028780596657e-87,"EEF1D"
2.3255535479677e-91,3.30821582449852,0.756,0.486,5.1908680744187e-87,"CD53"
3.20471575289001e-90,4.3909072694075,0.521,0.107,7.15324603202579e-86,"CD24"
3.43834767847785e-90,3.22101004139565,0.763,0.533,7.67473585313042e-86,"COMMD6"
6.45445920341508e-90,3.71437611879719,0.675,0.294,1.44069983879428e-85,"STK17A"
2.67630104613929e-89,4.58863510171564,0.594,0.183,5.9737715650875e-85,"SMIM14"
4.06195114703685e-89,0.867748807521524,0.998,0.99,9.06668115530096e-85,"MALAT1"
5.23493843545066e-89,2.4619886912806,0.815,0.716,1.16849060817694e-84,"ARPC2"
9.79572385984298e-89,4.39119939455159,0.54,0.125,2.18650352275555e-84,"SLC2A3"
5.34919750230335e-88,2.1778394594439,0.837,0.759,1.19399437448913e-83,"PPIA"
8.00149270543848e-88,5.29545787485347,0.418,0.048,1.78601318678092e-83,"TLR10"
1.36993221305139e-87,4.33452133757522,0.361,0.022,3.05782569275201e-83,"RASGRP2"
2.10597169229403e-87,4.03563618766705,0.609,0.207,4.7007394143695e-83,"PTPN6"
1.02801923785012e-86,1.35425864328703,0.914,0.892,2.29464174080524e-82,"ATP5E"
1.67276053519505e-86,2.25562018139354,0.849,0.6,3.73376879060887e-82,"KLF6"
2.22981261109761e-86,3.60339956566789,0.702,0.328,4.97716472923096e-82,"ZFP36L1"
9.68994109432499e-86,5.53597158206659,0.341,0.017,2.16289175166428e-81,"CIITA"
1.05445192886026e-85,-2.46531663152447,0.099,0.724,2.35364215040898e-81,"TNFRSF17"
1.23904143126086e-85,4.7599283701033,0.503,0.109,2.76566437871735e-81,"SYPL1"
4.74198278285635e-85,1.17099408365451,0.946,0.954,1.05845797696136e-80,"EIF1"
5.90329793971748e-85,-2.12955477024177,0.138,0.79,1.31767513312434e-80,"HM13"
