"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Mac-OLFML3-CX3CR1-resident","SMC_myoFibroblast","HLA-DRA","CD4",0.0258097451145374,0.02,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid","SMC_myoFibroblast","HLA-DRA","CD4",0.0235018207440888,0.03,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B cell_plasma","C6-SLC2A1-like","HLA-DRB1","CD4",0.0495200669013375,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C6-SLC2A1-like","C6-SLC2A1-like","HLA-DRB1","CD4",0.119879660142594,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C7-APOBEC3A-like","C6-SLC2A1-like","HLA-DRB1","CD4",0.172805994326327,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","C6-SLC2A1-like","HLA-DRB1","CD4",0.0620474397309183,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Cell cycle cell","C6-SLC2A1-like","HLA-DRB1","CD4",0.0824214344278454,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Epithelia","C6-SLC2A1-like","HLA-DRB1","CD4",0.0277329824399659,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-Cycling","C6-SLC2A1-like","HLA-DRB1","CD4",0.143091159644131,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","C6-SLC2A1-like","HLA-DRB1","CD4",0.155475398715969,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-NUPR1-IGF2-stress","C6-SLC2A1-like","HLA-DRB1","CD4",0.116211533680824,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-OLFML3-CX3CR1-resident","C6-SLC2A1-like","HLA-DRB1","CD4",0.180956082421233,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-TNF-CCL4-inflammatory","C6-SLC2A1-like","HLA-DRB1","CD4",0.105159087165337,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mono-FCN1-S100A8-S100A9","C6-SLC2A1-like","HLA-DRB1","CD4",0.123256584398221,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid","C6-SLC2A1-like","HLA-DRB1","CD4",0.168742713954289,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid-CLEC10A-APC","C6-SLC2A1-like","HLA-DRB1","CD4",0.141186328367291,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Other T","C6-SLC2A1-like","HLA-DRB1","CD4",0.0579705301395036,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B cell_plasma","C7-APOBEC3A-like","HLA-DRB1","CD4",0.0682315199878011,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C6-SLC2A1-like","C7-APOBEC3A-like","HLA-DRB1","CD4",0.160682470248987,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C7-APOBEC3A-like","C7-APOBEC3A-like","HLA-DRB1","CD4",0.226977302859324,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","C7-APOBEC3A-like","HLA-DRB1","CD4",0.0850687792954781,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Cell cycle cell","C7-APOBEC3A-like","HLA-DRB1","CD4",0.112098650714436,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Epithelia","C7-APOBEC3A-like","HLA-DRB1","CD4",0.0385459127518208,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-Cycling","C7-APOBEC3A-like","HLA-DRB1","CD4",0.190088025927478,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","C7-APOBEC3A-like","HLA-DRB1","CD4",0.205563996569515,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-NUPR1-IGF2-stress","C7-APOBEC3A-like","HLA-DRB1","CD4",0.155987119486306,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-OLFML3-CX3CR1-resident","C7-APOBEC3A-like","HLA-DRB1","CD4",0.236950433121246,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-TNF-CCL4-inflammatory","C7-APOBEC3A-like","HLA-DRB1","CD4",0.141758538612614,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mono-FCN1-S100A8-S100A9","C7-APOBEC3A-like","HLA-DRB1","CD4",0.164993308808352,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid","C7-APOBEC3A-like","HLA-DRB1","CD4",0.221982083653207,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid-CLEC10A-APC","C7-APOBEC3A-like","HLA-DRB1","CD4",0.187694606244666,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Other T","C7-APOBEC3A-like","HLA-DRB1","CD4",0.079607606130121,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B cell_plasma","Mac-Cycling","HLA-DRB1","CD4",0.0281828999410302,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C6-SLC2A1-like","Mac-Cycling","HLA-DRB1","CD4",0.0704738396432684,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C7-APOBEC3A-like","Mac-Cycling","HLA-DRB1","CD4",0.104169405752139,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","Mac-Cycling","HLA-DRB1","CD4",0.0355141736738944,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Cell cycle cell","Mac-Cycling","HLA-DRB1","CD4",0.0476179799718582,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-Cycling","Mac-Cycling","HLA-DRB1","CD4",0.085043566840752,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","Mac-Cycling","HLA-DRB1","CD4",0.0929488505999678,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-NUPR1-IGF2-stress","Mac-Cycling","HLA-DRB1","CD4",0.0682003082067676,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-OLFML3-CX3CR1-resident","Mac-Cycling","HLA-DRB1","CD4",0.109510928606283,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-TNF-CCL4-inflammatory","Mac-Cycling","HLA-DRB1","CD4",0.0613968187484884,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mono-FCN1-S100A8-S100A9","Mac-Cycling","HLA-DRB1","CD4",0.0725737975969136,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
