"sample","stage","identity","n_cells"
"GSM5599230_Cancer6","Advanced","Mac-Cycling",99
"GSM5599230_Cancer6","Advanced","Mac-FOLR2-LYVE1-resident",113
"GSM5599230_Cancer6","Advanced","Mac-NUPR1-IGF2-stress",100
"GSM5599230_Cancer6","Advanced","Mac-OLFML3-CX3CR1-resident",36
"GSM5599230_Cancer6","Advanced","Mac-TNF-CCL4-inflammatory",54
"GSM5599230_Cancer6","Advanced","Mono-CDKN1C",2
"GSM5599230_Cancer6","Advanced","Mono-FCN1-S100A8-S100A9",5
"GSM5599230_Cancer6","Advanced","Myeloid",11
"GSM5599230_Cancer6","Advanced","Myeloid-CLEC10A-APC",13
"GSM5599230_Cancer6","Advanced","Other T",348
"GSM5599230_Cancer6","Advanced","SMC_myoFibroblast",50
"GSM5599231_Cancer7","Early","B cell_plasma",646
"GSM5599231_Cancer7","Early","C7-APOBEC3A-like",57
"GSM5599231_Cancer7","Early","CD8 T",1507
"GSM5599231_Cancer7","Early","Cell cycle cell",150
"GSM5599231_Cancer7","Early","Endothelia",4
"GSM5599231_Cancer7","Early","Epithelia",866
"GSM5599231_Cancer7","Early","Fibroblast",3
"GSM5599231_Cancer7","Early","Mac-Cycling",21
"GSM5599231_Cancer7","Early","Mac-FOLR2-LYVE1-resident",22
"GSM5599231_Cancer7","Early","Mac-NUPR1-IGF2-stress",31
"GSM5599231_Cancer7","Early","Mac-OLFML3-CX3CR1-resident",10
"GSM5599231_Cancer7","Early","Mac-TNF-CCL4-inflammatory",10
"GSM5599231_Cancer7","Early","Mono-CDKN1C",1
"GSM5599231_Cancer7","Early","Mono-FCN1-S100A8-S100A9",3
"GSM5599231_Cancer7","Early","Myeloid",82
"GSM5599231_Cancer7","Early","Myeloid-CLEC10A-APC",1
"GSM5599231_Cancer7","Early","Other T",1021
